id,commonName,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper
GW150914-v3,GW150914,35.6,-3.1,4.7,30.6,-4.4,3,40.3,,
GW151012-v3,GW151012,23.2,-5.5,14.9,13.6,-4.8,4.1,38.1,,
GW151226-v2,GW151226,13.7,-3.2,8.8,7.7,-2.5,2.2,22.5,,
GW170104-v2,GW170104,30.8,-5.6,7.3,20,-4.6,4.9,38.1,,
GW170608-v3,GW170608,11,-1.7,5.5,7.6,-2.2,1.4,16.5,,
GW170729-v1,GW170729,50.2,-10.2,16.2,34,-10.1,9.1,66.4,,
GW170809-v1,GW170809,35,-5.9,8.3,23.8,-5.2,5.1,43.3,,
GW170814-v3,GW170814,30.6,-3,5.6,25.2,-4,2.8,36.2,,
GW170817-v3,GW170817,1.46,-0.1,0.12,1.27,-0.09,0.09,1.58,,
GW170818-v1,GW170818,35.4,-4.7,7.5,26.7,-5.2,4.3,42.9,,
GW170823-v1,GW170823,39.5,-6.7,11.2,29,-7.8,6.7,50.7,,
GW190403_051519-v1,GW190403_051519,85,-33,27.8,20,-8.4,26.3,106.6,-23.6,26.7
GW190408_181802-v2,GW190408_181802,24.8,-3.5,5.4,18.5,-4,3.3,43.4,-3,4.2
GW190412_053044-v4,GW190412,27.7,-6,6,9,-1.4,2,36.8,-4.4,4.7
GW190413_052954-v2,GW190413_052954,33.7,-6.4,10.4,24.2,-7,6.5,58,-7.8,10.6
GW190413_134308-v2,GW190413_134308,51.3,-12.6,16.6,30.4,-12.7,11.7,81.3,-11.8,16.8
GW190421_213856-v2,GW190421_213856,42,-7.4,10.1,32,-9.8,8.3,73.6,-9.5,13.2
GW190424_180648-v2,GW190424_180648,,,,,,,0,,
GW190425_081805-v3,GW190425,2.1,-0.4,0.5,1.3,-0.2,0.3,3.4,-0.1,0.3
GW190426_152155-v2,GW190426_152155,,,,,,,0,,
GW190426_190642-v1,GW190426_190642,105.5,-24.1,45.3,76,-36.5,26.2,182.3,-35.7,40.2
GW190503_185404-v2,GW190503_185404,41.3,-7.7,10.3,28.3,-9.2,7.5,69.4,-8.6,10.1
GW190512_180714-v2,GW190512_180714,23.2,-5.6,5.6,12.5,-2.6,3.5,35.8,-3.5,4.1
GW190513_205428-v2,GW190513_205428,36,-9.7,10.6,18.3,-4.7,7.4,54.4,-6.7,9.3
GW190514_065416-v2,GW190514_065416,40.9,-9.3,17.3,28.4,-10.1,10,69.3,-12.1,19.8
